		Английски/English

a		adjective (прилагателно)
adv		adverb (наречие)
attr		attributively (атрибутивна употреба)
cj		conjunction (съюз)
comp		comparative degree (сравнителна степен)
dem		demonstrative (показателно местоимение)
ger		gerund (герундий)
imp		imperative (повелително наклонение)
inf		infinitive (инфинитив)
int		interjection (междуметие)
n		noun (съществително име)
p.p.		past participle (минало причастие)
p.t.		past tense (минало време)
pass		passive (страдателен залог)
pers		personal (личен)
pl		plural (множествено число)
pred		predicative (сказуемо име)
pref		prefix (префикс)
prep		preposition (предлог)
pron		pronoun (местоимение)
refl		reflexive (възвратен)
s.o.		someone (някой, някого)
s.th.		something (нещо)
sing		singular (единствено число)
sl		slang (жаргон)
super.		superlative (превъзходна степен)
v		verb (глагол)


		Български/Bulgarian

ав.		авиация
авт.		автоматика
авт.		автомобилен термин
авто.		автомобилна и тракторна техника
аеродин.	аеродинамика
ак.		акустика
ам.		американски термин
амер.		американски термин
ан.		английски термин
анат.		анатомия
англ.		английски термин
антроп.		антропология
арх.		архитектура
археол.		археология
астр.		астрономия
банк.		банков термин
безл.		безлично
библ.		библейски термин
бизн.		бизнес
биол.		биология
бион.		бионика
биохим.		биохимия
бот.		ботаника
вет.		ветеринарна медицина
вж.		виж
вин.		винителен (падеж)
воен.		военен термин
вр.		време
вулг.		вулгарно
въпрос.		въпросителен
галв.		галванотехника
геогр.		география
геод.		геодезия
геол.		геология
геом.		геометрия
гл.		глагол
готв.		готварство
грам.		граматика
дат.		дателен (падеж)
двиг.		двигатели с вътрешно горене
дет.		детска дума
диал.		диалектно
дипл.		дипломация
дърв.		дървообработване
ед.ч.		единствено число
ез.		езикознание
ел.		електротехника
ел.мед.		електромедицинска техника
елн.		електроника
етн.		етнография
жп.		железопътен термин
ж.р.		женски род
журн.		журналистика
зав.		заваръчна техника
зем.		земеделие
знач.		значение
зоол.		зоология
изк.		изкуство
изм.		измервателна техника
изр.		изречение
изч.		изчислителна техника и обработка на данни
изч.тех.	изчислителна техника
икон.		икономика
им.		именителен (падеж)
ирл.		ирландски
ирон.		иронично
ист.		история
канц.		канцеларски термин
карт.		картоиграчески термин
кауч.		каучукова промишленост
книж.		книжовно
кож.		кожарска промишленост
конкр.		конкретно
кораб.		корабостроене и корабоплаване
кор.		корозия и защита от корозия
косм.		космическа и ракетна техника
косм.		космонавтика
кфт.		кино и фото техника
леяр.		леене на металите
лит.		литература, литературно
лич.		лично (местоимение)
л.		лице
лов.		ловджийски термин
мат.		математика
маш.		машиностроене
мед.		медицина
межд.		междуметие
менер.		минералогия
мест.		местоимение
метал.		металургия
метео.		метеорология
метеор.		метеорология
мет.		металургия
мех.		механика
мин.вр.		минало време
минер.		минералогия, минно дело
мин.		минералогия, минно дело
мит.		митология
мн.ч.		множествено число
мор.		морски термин
м.р.		мъжки род
муз.		музика
наг.		навигация
напр.		например
нар.		наречие
науч.		научен термин
неодобр.	неодобрително
непрех.		непреходен (глагол)
нефт.		нефтена промишленост
обик.		обикновено
обог.		обогатяване на полезни изкопаеми
обр.мет.	обработване на металите
опт.		оптика
особ.		особено
ост.		остаряло
относ.		относително (местоимение)
отр.		отрицателно
пад.		падеж
палеонт.	палеонтология
парл.		парламентарен термин
пат.		патентно дело
петр.		петрография
печат.		печатарство
печ.		печатарство
пласт.		пластмаси
подигр.		подигравателно
под.тр.		подемно-транспортни съоръжения
поет.		поетично
полиг.		полиграфия
полож.		положителен
пол.		политика
прев.ст.	превъзходна степен
предик.		предикативно
предл.		предлог
предст.		представка
презр.		презрително
пренебр.	пренебрежително
прен.		преносно
прех.		преходен (глагол)
прил.		прилагателно
прит.мест.	притежателно местоимение
прич.		причастие
пр.		прочие
псих.		психология
рад.		радио (радиотехника)
разг.		разговорно
рел.		религия
рлк.		радиолокация
ряд.		рядко
сег.		сегашно (време)
сз.		съюз
спорт.		спортен термин
сп.		спорт
сравн.		сравнителна (степен)
с.ст.		селскостопанска техника
стр.		строителен термин
стр.		строителство
събир.		събирателно (съществително)
съкр.		съкратено (съкращение)
съобщ.		съобщителна техника
съчет.		съчетание
същ.		съществително
театр.		театрален термин
текст.		текстилна промишленост
телев.		телевизия
тел.		телеграф, телефон
техн.		технически термин
тлв.		телевизия
тлг.		телеграфия
тлф.		телефония
търг.		търговски термин
уч.		училищен термин
фарм.		фармацевтика
физиол.		физиология
физ.		физика
фил.		философия
фин.		финанси
фон.		фонетика
фот.		фотография
харт.		производство на хартия
хидр.		хидротехника
хим.		химия
хир.		хирургия
хран.		хранителна промишленост
църк.		църковен термин
числ.		числително
ч.		число
шах.		шахмат
шег.		шеговито
юр.		юридически термин
ядр.		ядрена физика и техника
